"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4149.42 0.594575 0.602628 7.78615 0.868095
4149.76 0.591304 0.602979 7.79689 0.868092
4150.1 0.58866 0.602842 7.81446 0.868086
4150.44 0.587563 0.602264 7.83299 0.868077
4150.78 0.588779 0.601355 7.84182 0.868065
4151.12 0.592196 0.600249 7.81871 0.86805
4151.46 0.59591 0.599058 7.79571 0.868032
4151.8 0.597898 0.597857 7.78351 0.868011
4152.14 0.597695 0.596672 7.77898 0.867988
4152.48 0.596085 0.595507 7.77445 0.867962
4152.82 0.593858 0.594379 7.79077 0.867934
4153.16 0.591643 0.593332 7.80861 0.867903
4153.5 0.590022 0.592439 7.82076 0.86787
4153.84 0.589436 0.591776 7.81854 0.867835
4154.18 0.590081 0.591392 7.81632 0.867798
4154.52 0.592089 0.591303 7.80216 0.867759
4154.86 0.595105 0.591513 7.78127 0.867718
4155.2 0.598434 0.592035 7.76046 0.867675
4155.54 0.601419 0.592893 7.74733 0.867631
4155.88 0.603607 0.594133 7.73431 0.867585
4156.22 0.604598 0.595792 7.72772 0.867537
4156.56 0.604413 0.597876 7.73341 0.867488
4156.9 0.603699 0.600362 7.7391 0.867438
4157.24 0.603157 0.603216 7.74195 0.867387
4157.58 0.603491 0.6064 7.74356 0.867335
4157.92 0.605404 0.609884 7.74248 0.867281
4158.26 0.609224 0.613654 7.69117 0.867227
4158.6 0.61398 0.617677 7.64035 0.867172
4158.94 0.618443 0.621887 7.59525 0.867117
4159.28 0.622138 0.626195 7.55814 0.867061
4159.62 0.625556 0.630493 7.52129 0.867004
4159.96 0.629179 0.634678 7.48873 0.866947
4160.3 0.632876 0.638662 7.45763 0.86689
4160.64 0.636211 0.642388 7.42773 0.866832
4160.98 0.63886 0.645796 7.40561 0.866775
4161.32 0.640832 0.648815 7.38358 0.866718
4161.66 0.642201 0.651358 7.36253 0.86666
4162.0 0.64319 0.653341 7.34252 0.866603
4162.34 0.644182 0.654715 7.3226 0.866546
4162.68 0.64551 0.655467 7.3018 0.86649
4163.02 0.647121 0.655642 7.28089 0.866434
4163.36 0.648797 0.655328 7.26195 0.866379
4163.7 0.650211 0.65462 7.25121 0.866325
4164.05 0.650776 0.653582 7.2405 0.866271
4164.39 0.649898 0.652241 7.24882 0.866218
4164.73 0.647566 0.650601 7.27307 0.866167
4165.07 0.64428 0.64866 7.29745 0.866116
4165.41 0.640552 0.64643 7.33918 0.866067
4165.75 0.63685 0.643968 7.38313 0.866019
4166.09 0.633623 0.641366 7.42282 0.865972
4166.43 0.631102 0.63873 7.44978 0.865927
4166.77 0.629106 0.636137 7.47689 0.865884
