"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4183.17 0.628396 0.627937 4.99922 0.875172
4183.51 0.631689 0.629428 4.99037 0.875081
4183.85 0.634259 0.630714 4.98153 0.874992
4184.19 0.635351 0.631687 4.98268 0.874903
4184.54 0.634967 0.632271 4.99141 0.874814
4184.88 0.633744 0.63243 5.00016 0.874727
4185.22 0.632259 0.632167 5.02178 0.874641
4185.56 0.630705 0.631517 5.04437 0.874555
4185.91 0.62916 0.630537 5.06648 0.87447
4186.25 0.627715 0.629301 5.08732 0.874386
4186.59 0.626481 0.627901 5.10829 0.874303
4186.93 0.625582 0.626453 5.11702 0.874221
4187.28 0.62528 0.625098 5.12006 0.874139
4187.62 0.625921 0.623987 5.12188 0.874059
4187.96 0.62768 0.623264 5.1034 0.873979
4188.3 0.630158 0.623041 5.08501 0.8739
4188.65 0.632836 0.623384 5.06613 0.873822
4188.99 0.635214 0.624313 5.04656 0.873745
4189.33 0.636822 0.625825 5.02711 0.873669
4189.68 0.637275 0.627889 5.02126 0.873594
4190.02 0.636827 0.630451 5.0187 0.87352
4190.36 0.636011 0.633428 5.01824 0.873447
4190.7 0.635347 0.636698 5.02737 0.873375
4191.05 0.63532 0.640101 5.03654 0.873304
4191.39 0.636381 0.643448 5.0396 0.873234
4191.73 0.63844 0.646558 5.03774 0.873165
4192.08 0.640939 0.649264 5.03588 0.873096
4192.42 0.643378 0.651416 5.02286 0.873029
4192.76 0.64563 0.652868 5.00905 0.872963
4193.1 0.647681 0.653475 4.99735 0.872898
4193.45 0.649356 0.653099 4.99033 0.872834
4193.79 0.650209 0.65163 4.98332 0.872771
4194.13 0.649792 0.649021 4.99028 0.872709
4194.48 0.647881 0.645308 5.00376 0.872648
4194.82 0.644392 0.640612 5.01857 0.872589
4195.16 0.639378 0.635109 5.05329 0.87253
4195.51 0.63335 0.62901 5.08838 0.872473
4195.85 0.62691 0.62253 5.12797 0.872416
4196.19 0.620589 0.615877 5.1734 0.872361
4196.54 0.614841 0.609243 5.21943 0.872307
4196.88 0.610016 0.602813 5.25907 0.872254
4197.22 0.605781 0.596762 5.29759 0.872202
4197.57 0.601514 0.591249 5.33446 0.872151
4197.91 0.596932 0.586399 5.36314 0.872102
4198.25 0.59251 0.582306 5.39205 0.872054
4198.6 0.588819 0.579021 5.42 0.872006
4198.94 0.586189 0.576556 5.44727 0.871961
4199.28 0.584752 0.574889 5.47475 0.871916
4199.63 0.584487 0.573979 5.47891 0.871872
4199.97 0.584672 0.573788 5.48199 0.87183
4200.32 0.5844 0.574279 5.48711 0.871789
4200.66 0.583415 0.575426 5.49623 0.87175
4201.0 0.582465 0.57721 5.50538 0.871711
4201.35 0.582372 0.579616 5.51089 0.871674
4201.69 0.583844 0.582614 5.51496 0.871638
4202.03 0.587523 0.586164 5.51531 0.871603
4202.38 0.593424 0.590223 5.4822 0.87157
4202.72 0.599688 0.594759 5.44939 0.871538
4203.07 0.604184 0.599742 5.42323 0.871507
4203.41 0.606554 0.605147 5.40405 0.871478
4203.75 0.608297 0.610941 5.38496 0.87145
4204.1 0.610893 0.617074 5.34705 0.871424
4204.44 0.615146 0.62347 5.30663 0.871398
4204.79 0.621604 0.630036 5.25964 0.871374
4205.13 0.630299 0.636663 5.19244 0.871352
4205.47 0.640254 0.643234 5.12653 0.871331
4205.82 0.650367 0.649617 5.07358 0.871311
4206.16 0.659433 0.655679 5.02816 0.871293
4206.51 0.666171 0.661291 4.9839 0.871276
4206.85 0.669715 0.666343 4.97043 0.87126
4207.19 0.67077 0.670742 4.95702 0.871246
4207.54 0.670419 0.674435 4.94897 0.871234
4207.88 0.669902 0.6774 4.9488 0.871223
4208.23 0.670659 0.67964 4.94863 0.871213
4208.57 0.673851 0.681187 4.93633 0.871205
4208.92 0.678362 0.682104 4.92086 0.871198
4209.26 0.682029 0.682479 4.90837 0.871193
4209.6 0.683474 0.682407 4.90963 0.871189
4209.95 0.683211 0.681972 4.91089 0.871187
4210.29 0.682006 0.681235 4.9211 0.871187
4210.64 0.680193 0.680213 4.93836 0.871188
4210.98 0.677738 0.678884 4.95571 0.87119
4211.33 0.674653 0.677196 4.97936 0.871194
4211.67 0.671211 0.675091 5.00351 0.8712
4212.02 0.667761 0.672521 5.02812 0.871207
4212.36 0.66452 0.669465 5.05348 0.871216
4212.71 0.661509 0.665947 5.07903 0.871226
4213.05 0.658716 0.662039 5.10582 0.871238
4213.4 0.655985 0.657873 5.13322 0.871252
4213.74 0.653079 0.653634 5.16104 0.871267
4214.08 0.649863 0.649534 5.19064 0.871284
4214.43 0.646488 0.645798 5.22049 0.871302
4214.77 0.643172 0.64264 5.24693 0.871322
4215.12 0.640556 0.64026 5.26996 0.871344
4215.46 0.639694 0.638842 5.29313 0.871367
4215.81 0.641281 0.638552 5.28401 0.871393
4216.15 0.643924 0.639523 5.27116 0.87142
4216.5 0.645537 0.641824 5.25999 0.871448
4216.84 0.645618 0.645435 5.25293 0.871478
4217.19 0.646451 0.65023 5.24589 0.87151
4217.53 0.650377 0.655978 5.2198 0.871544
4217.88 0.657164 0.662381 5.18495 0.87158
4218.22 0.664971 0.669104 5.14994 0.871617
4218.57 0.672157 0.675803 5.10858 0.871656
4218.91 0.677801 0.682126 5.06772 0.871697
4219.26 0.681169 0.687723 5.03373 0.871739
4219.6 0.682603 0.692269 5.00745 0.871784
4219.95 0.683634 0.69547 4.98137 0.87183
4220.3 0.68555 0.697074 4.97331 0.871878
4220.64 0.687739 0.696886 4.96827 0.871927
4220.99 0.688865 0.69476 4.96973 0.871979
4221.33 0.687828 0.690578 4.99085 0.872032
4221.68 0.683994 0.684255 5.0121 0.872088
4222.02 0.676826 0.675764 5.06866 0.872145
4222.37 0.666376 0.665166 5.14618 0.872204
4222.71 0.653098 0.652623 5.22661 0.872265
4223.06 0.637568 0.638398 5.3376 0.872328
4223.4 0.620758 0.622846 5.45217 0.872392
4223.75 0.603722 0.606376 5.5688 0.872459
4224.1 0.587305 0.589425 5.68694 0.872528
4224.44 0.572102 0.572453 5.80889 0.872598
4224.79 0.558613 0.555961 5.9131 0.87267
4225.13 0.54681 0.540477 6.01557 0.872745
4225.48 0.53644 0.526553 6.11247 0.872821
4225.82 0.527309 0.514748 6.18276 0.872899
4226.17 0.519329 0.505581 6.25427 0.87298
4226.52 0.512496 0.499475 6.29883 0.873062
4226.86 0.507694 0.496722 6.32667 0.873146
4227.21 0.506456 0.497451 6.35239 0.873232
4227.55 0.509669 0.501605 6.26584 0.873319
4227.9 0.515735 0.508931 6.18104 0.873409
4228.24 0.522509 0.519018 6.10355 0.8735
4228.59 0.529347 0.531338 6.03519 0.873593
4228.94 0.537458 0.545296 5.96796 0.873687
4229.28 0.548002 0.560276 5.86598 0.873783
4229.63 0.560946 0.575682 5.75878 0.873881
4229.97 0.575753 0.59095 5.65261 0.87398
4230.32 0.591651 0.605544 5.54277 0.874081
4230.67 0.607382 0.618965 5.43608 0.874183
4231.01 0.621661 0.63077 5.34877 0.874286
4231.36 0.633742 0.640614 5.27355 0.874391
4231.71 0.643275 0.648287 5.2005 0.874498
4232.05 0.65005 0.653739 5.16616 0.874605
4232.4 0.65436 0.65707 5.13215 0.874714
4232.74 0.656622 0.658501 5.1109 0.874825
4233.09 0.657394 0.658334 5.10713 0.874936
4233.44 0.657406 0.656905 5.10337 0.875049
4233.78 0.657267 0.654542 5.11744 0.875162
4234.13 0.656649 0.651545 5.13557 0.875277
4234.48 0.654833 0.648174 5.15715 0.875393
4234.82 0.651743 0.644654 5.1909 0.87551
4235.17 0.648665 0.641187 5.22499 0.875628
4235.52 0.646959 0.637972 5.24707 0.875747
4235.86 0.64661 0.635224 5.26179 0.875867
4236.21 0.646606 0.633155 5.27646 0.875987
4236.56 0.64604 0.631939 5.28735 0.876109
4236.9 0.644492 0.631671 5.29828 0.876231
4237.25 0.641687 0.632347 5.31341 0.876354
4237.6 0.638529 0.633885 5.33419 0.876478
4237.94 0.637343 0.636165 5.3551 0.876603
