"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4132.48 0.658636 0.661306 0.251562 0.895627
4132.82 0.655945 0.658162 0.251772 0.895683
4133.16 0.653417 0.656496 0.25198 0.895736
4133.5 0.652371 0.6567 0.252188 0.895785
4133.83 0.654326 0.659081 0.251891 0.895832
4134.17 0.661751 0.66374 0.251367 0.895875
4134.51 0.677691 0.670491 0.250791 0.895916
4134.85 0.702718 0.67886 0.248448 0.895954
4135.19 0.728317 0.688213 0.246137 0.895988
4135.53 0.744053 0.697938 0.244342 0.89602
4135.86 0.747056 0.707581 0.243383 0.896048
4136.2 0.745108 0.71689 0.242431 0.896073
4136.54 0.746115 0.725777 0.241533 0.896095
4136.88 0.751155 0.734198 0.24066 0.896114
4137.22 0.757382 0.742036 0.239845 0.89613
4137.56 0.762366 0.749059 0.240025 0.896142
4137.89 0.765253 0.754982 0.240206 0.896152
4138.23 0.76555 0.759578 0.240689 0.896158
4138.57 0.763554 0.762752 0.241643 0.896161
4138.91 0.760612 0.76454 0.242604 0.896161
4139.25 0.758042 0.765019 0.243316 0.896158
4139.59 0.756214 0.764188 0.24394 0.896152
4139.93 0.754992 0.761881 0.244496 0.896143
4140.26 0.753946 0.757766 0.244217 0.896131
4140.6 0.751734 0.75145 0.243938 0.896116
4140.94 0.746844 0.742676 0.24387 0.896098
4141.28 0.738178 0.731496 0.244091 0.896078
4141.62 0.725148 0.718374 0.244313 0.896054
4141.96 0.707502 0.704147 0.246389 0.896028
4142.3 0.687519 0.689881 0.249077 0.895999
4142.64 0.668733 0.676663 0.251747 0.895967
4142.98 0.653986 0.665408 0.253952 0.895932
4143.31 0.644076 0.656728 0.256185 0.895895
4143.65 0.639414 0.650913 0.256486 0.895856
4143.99 0.639861 0.648005 0.254444 0.895813
4144.33 0.644655 0.647898 0.252426 0.895768
4144.67 0.652936 0.650413 0.250952 0.895721
4145.01 0.663349 0.655337 0.24962 0.895671
4145.35 0.674318 0.662393 0.248372 0.895618
4145.69 0.684465 0.671161 0.247566 0.895563
4146.03 0.692924 0.681047 0.246764 0.895506
4146.37 0.698949 0.691286 0.245622 0.895446
4146.71 0.702588 0.701015 0.244135 0.895384
4147.05 0.704703 0.709404 0.242661 0.89532
4147.38 0.706207 0.715837 0.241992 0.895253
4147.72 0.708095 0.720026 0.241478 0.895184
4148.06 0.711396 0.722028 0.240841 0.895113
4148.4 0.716564 0.722205 0.239671 0.89504
