Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4140.6,0.57017,0.572682,9.75863,0.863003
4140.94,0.567238,0.570803,9.80269,0.862892
4141.28,0.564722,0.568892,9.83827,0.862779
4141.62,0.562654,0.56695,9.87404,0.862663
4141.96,0.561051,0.564943,9.9102,0.862545
4142.3,0.559847,0.562845,9.94662,0.862424
4142.64,0.558935,0.560676,9.98345,0.8623
4142.98,0.558184,0.558494,10.0223,0.862175
4143.31,0.557391,0.556362,10.0613,0.862047
4143.65,0.556343,0.55433,10.0919,0.861917
4143.99,0.554944,0.552427,10.1121,0.861786
4144.33,0.553229,0.550667,10.1324,0.861652
4144.67,0.551278,0.549054,10.1233,0.861516
4145.01,0.549443,0.547629,10.1068,0.861379
4145.35,0.548203,0.546464,10.0951,0.86124
4145.69,0.547776,0.545623,10.1109,0.8611
4146.03,0.547704,0.545117,10.1267,0.860958
4146.37,0.547433,0.544911,10.1573,0.860814
4146.71,0.546769,0.544938,10.2034,0.86067
4147.05,0.545884,0.545116,10.2498,0.860524
4147.38,0.544958,0.545367,10.2484,0.860377
4147.72,0.544111,0.545653,10.2378,0.860229
4148.06,0.543436,0.545974,10.2277,0.860081
4148.4,0.542979,0.546336,10.2193,0.859931
4148.74,0.542676,0.546715,10.2109,0.859781
4149.08,0.542445,0.547072,10.211,0.85963
4149.42,0.542203,0.547372,10.2185,0.859478
4149.76,0.54186,0.547581,10.226,0.859326
4150.1,0.541337,0.54767,10.2432,0.859174
4150.44,0.540614,0.547645,10.2616,0.859021
4150.78,0.539692,0.547553,10.2806,0.858868
4151.12,0.538612,0.547447,10.3011,0.858715
4151.46,0.537501,0.547373,10.3217,0.858562
4151.8,0.536517,0.547371,10.3343,0.858409
4152.14,0.536163,0.547467,10.3412,0.858256
4152.48,0.537222,0.547659,10.3482,0.858103
4152.82,0.540089,0.547927,10.3138,0.857951
4153.16,0.54323,0.548258,10.2768,0.857799
4153.5,0.544536,0.548643,10.2574,0.857648
4153.84,0.54329,0.54908,10.2814,0.857497
4154.18,0.541216,0.549577,10.3056,0.857347
4154.52,0.540179,0.550157,10.314,0.857198
4154.86,0.540607,0.550855,10.3133,0.857049
4155.2,0.54192,0.551717,10.3127,0.856902
4155.54,0.543582,0.552779,10.2985,0.856756
4155.88,0.545316,0.554076,10.2842,0.85661
4156.22,0.546915,0.55561,10.2635,0.856466
4156.56,0.54848,0.557354,10.2306,0.856324
4156.9,0.550582,0.559267,10.1979,0.856182
4157.24,0.553743,0.561326,10.1463,0.856043
4157.58,0.557591,0.563518,10.0868,0.855904
4157.92,0.561222,0.565844,10.0292,0.855768
