Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4178.72,0.69222,0.688449,1.53158,0.894185
4179.06,0.692308,0.691087,1.52588,0.894086
4179.4,0.691948,0.693418,1.52021,0.893983
4179.75,0.693408,0.695366,1.51345,0.893875
4180.09,0.696998,0.696874,1.5063,0.893763
4180.43,0.701934,0.697922,1.49943,0.893646
4180.77,0.707385,0.698544,1.49483,0.893525
4181.11,0.712391,0.69885,1.49027,0.893399
4181.46,0.715994,0.699027,1.48717,0.893268
4181.8,0.717859,0.699311,1.4858,0.893133
4182.14,0.718347,0.699931,1.48443,0.892994
4182.48,0.717867,0.701055,1.48361,0.89285
4182.83,0.716902,0.702733,1.4829,0.892701
4183.17,0.715963,0.704864,1.48188,0.892549
4183.51,0.715473,0.707206,1.47958,0.892392
4183.85,0.715651,0.709432,1.47728,0.892231
4184.19,0.716651,0.711194,1.47747,0.892067
4184.54,0.717916,0.712197,1.47955,0.891898
4184.88,0.718298,0.712257,1.48163,0.891725
4185.22,0.716751,0.711332,1.497,0.891549
4185.56,0.712796,0.709514,1.51349,0.891369
4185.91,0.706145,0.707013,1.52678,0.891186
4186.25,0.697633,0.704122,1.53254,0.890999
4186.59,0.689953,0.701156,1.53834,0.890809
4186.93,0.685738,0.698414,1.54226,0.890615
4187.28,0.685123,0.696141,1.5453,0.890419
4187.62,0.686701,0.694487,1.54852,0.890219
4187.96,0.688946,0.693511,1.55438,0.890016
4188.3,0.690019,0.693208,1.56029,0.88981
4188.65,0.688083,0.693557,1.56599,0.889602
4188.99,0.683595,0.694547,1.57142,0.88939
4189.33,0.679767,0.696198,1.57688,0.889176
4189.68,0.679532,0.698564,1.57691,0.888959
4190.02,0.682607,0.701689,1.57561,0.88874
4190.36,0.687281,0.705558,1.57297,0.888518
4190.7,0.692367,0.710069,1.56419,0.888294
4191.05,0.697931,0.71502,1.55548,0.888068
4191.39,0.704197,0.720116,1.54518,0.88784
4191.73,0.711017,0.725007,1.53366,0.887609
4192.08,0.71792,0.729343,1.52226,0.887377
4192.42,0.724382,0.732813,1.51463,0.887142
4192.76,0.729664,0.73518,1.50732,0.886906
4193.1,0.732966,0.736297,1.50307,0.886668
4193.45,0.733714,0.736101,1.50562,0.886429
4193.79,0.731708,0.734586,1.50818,0.886187
4194.13,0.726862,0.731766,1.51731,0.885945
4194.48,0.719907,0.727669,1.52961,0.885701
4194.82,0.712082,0.722337,1.54213,0.885455
4195.16,0.704634,0.71584,1.55596,0.885209
4195.51,0.698802,0.70831,1.56997,0.884961
4195.85,0.695759,0.699972,1.57725,0.884712
4196.19,0.694561,0.691158,1.5757,0.884463
4196.54,0.69178,0.682263,1.57415,0.884212
4196.88,0.684567,0.673703,1.58424,0.883961
4197.22,0.675142,0.665857,1.59707,0.883709
4197.57,0.667882,0.659011,1.60789,0.883456
4197.91,0.66507,0.653322,1.60988,0.883203
4198.25,0.664233,0.648827,1.61187,0.882949
4198.6,0.662355,0.645465,1.61699,0.882695
4198.94,0.658247,0.643112,1.62445,0.882441
4199.28,0.652215,0.641614,1.63197,0.882187
4199.63,0.644861,0.640832,1.64374,0.881932
4199.97,0.637923,0.64065,1.65583,0.881678
4200.32,0.633449,0.640983,1.66614,0.881423
4200.66,0.632567,0.641786,1.67275,0.881169
4201.0,0.634997,0.643051,1.6794,0.880915
